# word | phonetic | pos. | meaning | example | topic
parasympathetic | /,pærә,simpә'θetik/ |  | a. 副交感的, 副交感神经系统的；副交感神经 |  | technology
remora | /'remәrә/ | n. | 障碍, 障碍物 |  | general
unexciting | /ˌʌnɪkˈsaɪtɪŋ/ |  | a. 不令人兴奋的 |  | general
inadvisable | /.inәd'vaizәbl/ |  | a. 不妥当的, 不明智的, 失策的 |  | general
thrice | /θrais/ | adv. | 以三倍, 三次, 十分地 |  | general
heritability | /,heritә'bilәti/ | n. | 遗传率；遗传性 |  | general
inestimable | /in'estimәbl/ |  | a. 无价的, 无法估计的 |  | general
unceasing | /.ʌn'si:siŋ/ |  | a. 持续的, 不断的, 不停的 |  | general
spasmodically | /spæz'mɒdikli/ | adv. | 断续性地, 痉挛性地 |  | general
intriguingly | /in'tri:giŋli/ | adv. | 有趣地；有魅力地 |  | general
gadgetry | /'gædʒitri/ | n. | 小配件, 小玩意 |  | general
wantonly |  | adv. | 嬉闹地；放纵地 |  | general
stoically | /'stəuikli/ | adv. | 坚忍地；恬淡寡欲地 |  | general
neighbourly | /'neibәli/ |  | a. 邻人似的, 友好的, 睦邻的 |  | general
baldly | /'bɒ:ldli/ | adv. | 率直地, 露骨地, 无掩饰地 |  | general
rhinoplasty | /'rainәplæsti/ | n. | 鼻整形术；鼻成形术 |  | general
artfully |  | adv. | 狡诈地；巧妙地 |  | culture
libidinal | /li'bidinәl/ |  | a. 性欲的；性欲的, 色情的 |  | general
whither | /'hwiðә/ | adv. | 到哪里 |  | general
unbeknown | /.ʌnbi'nәun/ |  | a. 未知的, 不为人知的 |  | general
thoroughgoing | /'θʌrә.gәuiŋ/ |  | a. 受过完善训练的, 彻底的 |  | general
behaviorism | /bi'heiviәriz(ә)m/ | n. | 行为主义 |  | general
moonwalk | /'mu:n,wɔ:k/ | n. | & vi(作)月球行走 |  | general
unfailingly | /ʌn'feɪlɪŋlɪ/ | adv. | 无穷尽地, 经久不衰地；可靠地 |  | general
sociopathic | /sәusiәu'pæθik/ |  | a. 反社会的, 不爱社交的 |  | society
manfully |  | adv. | 男子气概地；雄伟地 |  | general
irritatingly | /'ɪrɪteɪtɪŋlɪ/ | adv. | 刺激地, 使愤怒地 |  | general
capacitive | /kә'pæsitiv/ |  | 电容的 |  | general
anesthesiology | /,ænisθizi'ɔlәdʒi/ | n. | 麻醉学；麻醉学 |  | health
gratuitously |  | adv. | 不必要地；无缘无故地 |  | general
juju | /'dʒu:dʒu:/ | n. | 物神, 符咒 |  | general
amok | /ә'mɔk/ | adv. | 乱砍乱杀, 杀气腾腾地横冲直撞；杀人狂 |  | general
zinfandel | /'zinfәndel/ |  | 馨芳葡萄酒 |  | general
